trial_nr,phase,correct_shape,correct_shape_position,correct_reward,incorrect_reward,response,correct,rewarded,response_time
0,pre,square,1.0,1,0,right,0,0,0.48640824999893084
1,pre,square,0.0,0,0,right,1,0,0.5215601250092732
2,pre,square,0.0,1,0,right,1,1,0.480023958341917
3,pre,square,0.0,1,1,right,1,1,0.4524341250071302
4,pre,square,0.0,1,0,right,1,1,0.3478555000037886
5,pre,square,1.0,1,0,right,0,0,0.6950729583331849
6,pre,square,0.0,1,0,right,1,1,0.6077803333319025
7,pre,square,1.0,1,0,left,1,1,0.3802449583308771
8,pre,square,1.0,0,0,left,1,0,0.5198709166579647
9,pre,square,1.0,1,1,right,0,1,0.7821677499887301
10,pre,square,0.0,1,1,left,0,1,0.5501950833277078
11,pre,square,1.0,1,0,right,0,0,0.8285628333251225
12,pre,square,1.0,1,1,right,0,1,0.8574974583316362
13,pre,square,0.0,1,0,no response,0,0,None
14,pre,square,0.0,1,0,left,0,0,0.44134812500851694
15,pre,square,1.0,1,0,left,1,1,0.43089166667778045
16,pre,square,0.0,1,1,right,1,1,0.44016562501201406
17,pre,square,1.0,1,0,left,1,1,0.3870009166566888
18,pre,square,0.0,1,0,right,1,1,0.6576269166689599
19,pre,square,0.0,0,0,left,0,0,0.6695623333362164
20,pre,square,1.0,1,0,left,1,1,0.7101836666697636
21,pre,square,0.0,0,0,right,1,0,0.5930345000087982
22,pre,square,1.0,1,0,right,0,0,0.5911484583484707
23,pre,square,1.0,1,0,left,1,1,0.34327491668227594
24,pre,square,1.0,1,0,right,0,0,0.43159329167974647
25,pre,square,1.0,1,0,left,1,1,0.5975142083334504
26,pre,square,0.0,1,0,right,1,1,0.6277728749992093
27,pre,square,0.0,1,0,right,1,1,0.5404770833411021
28,pre,square,0.0,1,0,right,1,1,0.4590537499898346
29,pre,square,1.0,1,1,left,1,1,0.4079433750011958
30,post,circle,1.0,1,0,right,0,0,0.38837604166474193
31,post,circle,0.0,1,0,left,0,0,0.38113262499973644
32,post,circle,1.0,1,0,left,1,1,0.4553261249966454
33,post,circle,0.0,1,0,right,1,1,0.35870570832048543
34,post,circle,1.0,1,0,left,1,1,0.41135229167412035
35,post,circle,0.0,0,1,right,1,0,0.372390374992392
36,post,circle,1.0,1,0,right,0,0,0.38116212499153335
37,post,circle,0.0,1,1,left,0,1,0.4934180833224673
38,post,circle,1.0,1,0,right,0,0,0.5098243749962421
39,post,circle,0.0,0,0,right,1,0,0.47583362500881776
40,post,circle,0.0,1,0,right,1,1,0.27883616666076705
41,post,circle,0.0,1,0,left,0,0,0.35302691666583996
42,post,circle,1.0,1,1,right,0,1,0.3444876249996014
43,post,circle,0.0,1,0,left,0,0,0.6177770416543353
44,post,circle,1.0,0,1,right,0,1,0.38293995831918437
45,post,circle,1.0,1,0,left,1,1,0.3470265416690381
46,post,circle,0.0,0,0,right,1,0,0.3628329583298182
47,post,circle,0.0,1,0,left,0,0,0.3256460416596383
48,post,circle,1.0,1,0,right,0,0,0.3574836250045337
49,post,circle,0.0,1,0,right,1,1,0.3943904583429685
50,post,circle,1.0,1,0,right,0,0,0.7956165416690055
51,post,circle,0.0,1,0,right,1,1,0.4091024166555144
52,post,circle,1.0,1,0,left,1,1,0.39170887500222307
53,post,circle,1.0,1,0,left,1,1,0.4478220000019064
54,post,circle,1.0,0,0,left,1,0,0.7261554583237739
55,post,circle,1.0,1,0,right,0,0,0.4133561250055209
56,post,circle,0.0,0,0,right,1,0,0.44101720832986757
57,post,circle,0.0,0,1,left,0,1,0.44395462500688154
58,post,circle,1.0,1,0,left,1,1,0.6187556666700402
59,post,circle,0.0,1,0,right,1,1,0.3319116250058869
